"address_detail_pid","address","postcode","mb_code16","lga_code","ste_name16","geom"
GAVIC420218919,"7 Lincoln Road","3799","20647200000","27450",Victoria,POINT (145.67480182 -37.75368689)
GAVIC421735624,"34 Allsops Road","3139","20647621000","27450",Victoria,POINT (145.55476184 -37.78061088)
GAVIC422316760,"10 Peppercorn Place","3797","20647100000","27450",Victoria,POINT (145.61242289 -37.78734063)
GAVIC412647650,"31 Glenwright Avenue","3139","20646910000","27450",Victoria,POINT (145.54072523 -37.77577817)
GAVIC412591686,"15 Hill Road","3799","20647010000","27450",Victoria,POINT (145.69097937 -37.74971297)
GAVIC419912486,"47 Shirley Crescent","3139","20646810000","27450",Victoria,POINT (145.54330384 -37.77716288)
GAVIC420947268,"15 Sanctuary Way","3807","20104671000","21450",Victoria,POINT (145.36931484 -38.04284187)
GAVIC425558381,"1 Christopher Road","3809","20631950470","21450",Victoria,POINT (145.42483037 -38.0704975)
GAVIC421866037,"7 Grange Circuit","3807","20103170000","21450",Victoria,POINT (145.37286484 -38.04021887)
GAVIC419891671,"37 Mary Street","3809","20632004710","21450",Victoria,POINT (145.43012417 -38.07659021)
GAVIC421664731,"15 Glismann Road","3807","20631986600","21450",Victoria,POINT (145.37720884 -38.04635587)
GAVIC422179253,"81 Oneil Road","3807","20104202000","21450",Victoria,POINT (145.38327905 -38.04510935)
GAVIC424069285,"17 Tantallon Boulevard","3807","20103100000","21450",Victoria,POINT (145.38570872 -38.06083117)
GAVIC421878578,"27 Timberside Drive","3807","20104682000","21450",Victoria,POINT (145.37809084 -38.04531587)
GAVIC425471392,"54 Timbertop Boulevard","3809","20631981570","21450",Victoria,POINT (145.39906966 -38.05411462)
GAVIC424067647,"9 Portchester Boulevard","3807","20103490000","21450",Victoria,POINT (145.38334423 -38.05844478)
GAVIC411014416,"5 Stacey Street","3815","20102240000","21450",Victoria,POINT (145.71922677 -38.09495789)
GAVIC424633771,"26 Wattletree Road","3815","20631941180","21450",Victoria,POINT (145.71361443 -38.09035179)
GAVIC411014994,"35 Nash Road","3815","20101280000","21450",Victoria,POINT (145.72057677 -38.09142089)
GAVIC420798772,"420 Fogarty Road","3812","20101810000","21450",Victoria,POINT (145.60969506 -38.03042071)
GAVIC421086165,"24 Richards Road","3812","20100570000","21450",Victoria,POINT (145.5636458 -38.08266888)
GAVIC419887395,"2 Petty Road","3815","20101520000","21450",Victoria,POINT (145.71475577 -38.09240289)
GAVIC424885740,"43 Nar Nar Goon-Longwarry Road","3814","20101020000","21450",Victoria,POINT (145.67722791 -38.09237801)
GAVIC421407878,"39 Tynong Road","3813","20100992000","21450",Victoria,POINT (145.62426579 -38.08043789)
GAVIC419894508,"75 Wheeler Road","3812","20101100000","21450",Victoria,POINT (145.60148465 -38.04351343)
GAVIC425563286,"20 Jemima Court","3814","20631912160","21450",Victoria,POINT (145.68172756 -38.08894571)
GAVIC424625786,"60 Neville Street","3781","20101790000","21450",Victoria,POINT (145.48919833 -37.94323568)
GAVIC421675070,"3 Jacka Road","3782","20101320000","21450",Victoria,POINT (145.47231684 -37.92461487)
GAVIC422076881,"4 Anne Street","3782","20101300000","21450",Victoria,POINT (145.43512397 -37.93154568)
GAVIC420503292,"16 Springs Street","3781","20100490000","21450",Victoria,POINT (145.48565083 -37.93960387)
GAVIC421664244,"11 Sydney Avenue","3782","20100330000","21450",Victoria,POINT (145.43960384 -37.91995887)
GAVIC411157698,"8 Garden Street","3781","20100800000","21450",Victoria,POINT (145.48156741 -37.93508544)
GAVIC421400777,"191 Gembrook Road","3783","20100460000","21450",Victoria,POINT (145.54768145 -37.96677448)
GAVIC422423526,"2 Russell Road","3783","20100470000","21450",Victoria,POINT (145.55777885 -37.95243929)
GAVIC421393907,"2 Summit Avenue","3782","20100940000","21450",Victoria,POINT (145.46058184 -37.94447887)
GAVIC420819713,"6 Bilocla Avenue","3781","20101090000","21450",Victoria,POINT (145.50697383 -37.92057188)
GAVIC424077571,"7 Bailey Boulevard","3981","20631977450","21450",Victoria,POINT (145.491648 -38.20261233)
GAVIC423821437,"17 Blackfish Drive","3981","20106241000","21450",Victoria,POINT (145.4891588 -38.19410328)
GAVIC421306769,"11 David Court","3981","20105660000","21450",Victoria,POINT (145.4947498 -38.20007888)
GAVIC419798235,"48 James Street","3984","20105770000","21450",Victoria,POINT (145.57154678 -38.26733888)
GAVIC425515614,"8 Diamond Drive","3981","20631978840","21450",Victoria,POINT (145.50178442 -38.19163021)
GAVIC423670840,"363 Westernport Road","3984","20106140000","21450",Victoria,POINT (145.58418223 -38.25655218)
GAVIC419802587,"23 Moody Street","3981","20106020000","21450",Victoria,POINT (145.4887368 -38.19649588)
GAVIC421901425,"11 Henry Street","3981","20105620000","21450",Victoria,POINT (145.4919758 -38.19726788)
GAVIC419802725,"65 Walshes Road","3981","20106310000","21450",Victoria,POINT (145.63374428 -38.1958225)
GAVIC420080477,"250 Mcdonalds Track","3984","20631898560","21450",Victoria,POINT (145.57018861 -38.27309943)
GAVIC424075900,"17 Seville Street","3810","20105539100","21450",Victoria,POINT (145.47254512 -38.05605831)
GAVIC423153665,"8/154 Princes Highway","3810","20104351000","21450",Victoria,POINT (145.47213301 -38.06885542)
GAVIC424929133,"4 Majestic Drive","3809","20632000970","21450",Victoria,POINT (145.43710495 -38.06072855)
GAVIC421368648,"162 Princes Highway","3810","20103440000","21450",Victoria,POINT (145.47132487 -38.06834378)
GAVIC420786056,"38 Irving Road","3810","20104890000","21450",Victoria,POINT (145.48943582 -38.06747188)
GAVIC424475297,"7 Rockford Street","3810","20631933400","21450",Victoria,POINT (145.49331123 -38.06430193)
